Execute CalibMonitor with infile:d24CE.txt dirName: hcalIsoTrackAnalyzer dupFile: PhiSym2024_RunC.txt comFile: outFile: prefix: 24CE3 corrFile: 100 rcoFile:0 puCorr:-8 Flag:41031 Numb:54 dataMC:1 truncate:2 useGen:0 Scale:1 useScale:0 etaRange:0:30 runRange:0:99999999 phiRange:1:72 zside:1 nvxRange:0:1000 rbxFile: exclude:0 etaMax:1 histFile:24CEM3.root append:0 all:1 nmax:-1
Create a chain for hcalIsoTrackAnalyzer/CalibTree from d24CE.txt flags 1|3|-8
 cons 0.050905 eta range 0:30 run range 0:99999999 (inclusion flag 1)
 Selection of RBX 0 Vertex Range 0:1000
 corrFileName: 100 useScale 0:1:1
 rcorFileName: 0 flag 4:1:0 Threshold Flag 0
No. of Entries in this tree : 96487
Proceed with a tree chain with 96487 entries
Cannot open file 100
Reads 0 correction factors from 100 with flag 0
Flag for scale 0 with scale 1; flag for etaMax 1 and flag for Format 0
No event list provided for selection
Book Histos for Non-Standard 55:3
Cannot open duplicate file PhiSym2024_RunC.txt
CalibCorr is created with flag 4:4 for i/p file 0
Enters readCorrPhi for 0
Cannot open file 0
55 Eta Bins: -27.5 -26.5 -25.5 -24.5 -23.5 -22.5 -21.5 -20.5 -19.5 -18.5 -17.5 -16.5 -15.5 -14.5 -13.5 -12.5 -11.5 -10.5 -9.5 -8.5 -7.5 -6.5 -5.5 -4.5 -3.5 -2.5 -1.5 0 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5
Total entries 96487:96487
Entry 0 Run 380197 Event 53051885
Duplicate event 380197 54599928 48.8178
Duplicate event 380197 55559696 41.8009
Duplicate event 380197 55821658 53.1803
Duplicate event 380197 54272010 44.4147
Duplicate event 380197 53734772 40.6378
Duplicate event 380197 55729976 46.6863
Duplicate event 380197 54912373 40.7464
Duplicate event 380197 55444916 50.7315
Duplicate event 380197 54047664 45.1545
Duplicate event 380197 55539078 51.5387
Duplicate event 380197 54618844 41.1027
Duplicate event 380197 54303655 52.7581
Duplicate event 380197 53733497 45.3783
Duplicate event 380197 54819561 41.1535
Duplicate event 380197 55235036 40.7139
Duplicate event 380197 54524239 59.0362
Duplicate event 380197 54480228 50.4997
Duplicate event 380197 55180343 48.2468
Duplicate event 380197 54237889 41.2767
Duplicate event 380197 54126067 48.4848
Duplicate event 380197 54768839 47.315
Duplicate event 380197 53712051 41.04
Duplicate event 380197 55188261 56.72
Duplicate event 380197 54404132 41.177
Duplicate event 380197 55861050 46.3026
Duplicate event 380197 54950867 44.9989
Duplicate event 380197 55283829 43.3841
Duplicate event 380197 55232402 51.352
Duplicate event 380197 54729388 44.0346
Duplicate event 380197 54476598 47.1074
Duplicate event 380197 53813381 43.8581
Duplicate event 380197 54424170 44.6644
Duplicate event 380197 55435749 51.699
Duplicate event 380197 55886134 47.5677
Duplicate event 380197 55778872 47.9955
Duplicate event 380197 55400857 57.936
Duplicate event 380197 55302680 49.0307
Duplicate event 380197 55664254 50.6094
Duplicate event 380197 55666026 49.1715
Duplicate event 380197 54777026 46.0469
Duplicate event 380197 53990133 40.7047
Duplicate event 380197 55790787 49.641
Duplicate event 380197 54381139 44.0247
Duplicate event 380197 54446063 51.4476
Duplicate event 380197 55794469 40.1275
Duplicate event 380197 55030264 45.8516
Duplicate event 380197 54771677 48.8452
Duplicate event 380197 54069010 43.4983
Duplicate event 380197 54156647 40.742
Duplicate event 380197 55509911 40.0129
Duplicate event 380197 55834292 48.4164
Duplicate event 380197 53881218 48.1326
Duplicate event 380197 54585703 43.6213
Duplicate event 380197 53866871 49.3004
Duplicate event 380197 54705234 40.3089
Duplicate event 380197 53701198 50.4017
Duplicate event 380197 53809666 48.8
Duplicate event 380197 54680984 43.1536
Duplicate event 380197 53689083 41.7438
Duplicate event 380197 54978383 46.4637
Duplicate event 380197 55186231 44.3469
Duplicate event 380197 55771172 42.9772
Duplicate event 380197 54609922 45.1326
Duplicate event 380197 55541341 42.6826
Duplicate event 380197 55644860 46.3578
Duplicate event 380197 53704279 44.3847
Duplicate event 380197 54161379 48.7911
Duplicate event 380197 53768046 47.5867
Duplicate event 380197 54667515 49.306
Duplicate event 380197 74488342 59.0146
Duplicate event 380197 74878866 41.2569
Duplicate event 380197 75639012 44.9854
Duplicate event 380197 75182292 40.8637
Duplicate event 380197 74422957 41.306
Duplicate event 380197 74253905 43.5143
Duplicate event 380197 74560014 54.8616
Duplicate event 380197 75390906 46.7112
Duplicate event 380197 74649720 46.8375
Duplicate event 380197 74412506 41.2527
Duplicate event 380197 74431816 42.3312
Duplicate event 380197 74833848 40.7372
Duplicate event 380197 75352821 57.8268
Duplicate event 380197 75171887 56.5747
Duplicate event 380197 76046628 44.9268
Duplicate event 380197 74880036 42.3125
Duplicate event 380197 74531956 42.5163
Duplicate event 380197 74517932 43.5282
Duplicate event 380197 75303227 44.9454
Duplicate event 380197 76396128 52.0767
Duplicate event 380197 76419412 41.2861
Duplicate event 380197 74301246 42.4719
Duplicate event 380197 75841259 44.0037
Duplicate event 380197 76383280 48.317
Duplicate event 380197 74288694 44.6902
Duplicate event 380197 75018023 42.1215
Duplicate event 380197 75012091 43.1569
Duplicate event 380197 74756186 41.8546
Duplicate event 380197 76506463 40.1625
Duplicate event 380197 75162878 58.4111
Duplicate event 380197 74216334 45.3803
Duplicate event 380197 74309519 52.3513
Duplicate event 380197 75879520 40.643
Duplicate event 380197 74954257 40.5999
Duplicate event 380197 74335110 50.9289
Duplicate event 380197 75852217 44.4334
Duplicate event 380197 75306320 57.0672
Duplicate event 380197 75030097 55.7778
Duplicate event 380197 74824855 42.1083
Duplicate event 380197 75327963 42.4092
Duplicate event 380197 75520806 49.7091
Duplicate event 380197 76051261 40.7669
Duplicate event 380197 76192821 45.9671
Duplicate event 380197 74197074 41.1423
Duplicate event 380197 76469704 40.0439
Duplicate event 380197 74456480 49.3353
Duplicate event 380197 74516091 46.829
Duplicate event 380197 76028889 44.8414
Duplicate event 380197 76363756 59.2234
Duplicate event 380197 76363756 41.7121
Duplicate event 380197 74442951 54.5218
Duplicate event 380197 74708270 48.1555
Duplicate event 380197 74739987 41.5018
Duplicate event 380197 74866434 52.1604
Duplicate event 380197 75289075 47.2103
Duplicate event 380197 75296242 56.9646
Duplicate event 380197 75017613 49.3884
Duplicate event 380197 75216177 58.4981
Duplicate event 380197 75850612 44.1458
Duplicate event 380197 76121185 48.4805
